nama,id,tweet,tfindonesia,tfpalembang
Rahul Bhutani,@BhutaniRahul,The newly formed pair of Rohan Bopanna and Divij Sharan are the top seeds in the MaharashtraOpen  Huge hopes from the AsianGames2018 gold medalists given that no Indian player was able to win an ATPWorldTour doubles title this year,0,0
Dato Amarjit Singh,@AmarjitSG,National cycling team receives RM140000 for success in AsianGames2018 Congratulations  Thanks you KBSMalaysia MSNMALAYSIApictwittercom0mMNqv0thI,0,0
Hemanth Satya,@hemanthkalk,Top 10 Most influential Hashtags on Twitter in India  Sarkar tops the list and WhistlePodu CSK tag at 9SarkarMeeTooKarnatakaElectionsKeralaFloodsAadhaarJusticeForAsifaDeepVeerIPL2018WhistlePoduAsianGames2018WhistlePodu is only the regional tag among them,0,0
Rahul Bhutani,@BhutaniRahul,The pair won the AsianGames2018 gold playing together but the level of competition in Jakarta was largely Challenger level Playing with a partner from your country is always give you an edge and hopefully Rohan and Divij will find success and stick with each other IndianTennis,0,0
Vinayak Padmadeo,@Padmadeo,So as per MaheshBhupathi Leander pulled out of asiangames2018 due to injury  SukhwantBasra amanthejourno,0,0
Sefti Yeanna,@seftichan,AsianGames2018SeftiChan  the next popular hastag,0,0
Andrias Rico,@AndriasRico,Set your soul on FIRELet it BURNLift your SPIRIT highAnd reach the SKYSalah satu part favorit di Opening Ceremony asiangames2018Edisi gagal move on  rsteven wishnutama netmediatama AsianGames2018 pictwittercomlWjNAau80g,0,0
 ,@Shikha_MMA,Two Wheels move the soul but red one steals Jakarta indonesia asiangames2018 Asiancamp Advancetrainingpencaksilat clat martialarts oldmemories flashback SilatindiapictwittercomIxhC59KHpD  at Padepokan Pencak Silat Indonesia,2,0
ARMY FOR NEXT 8 YEARS,@taekuyajoonie,INDONESIA  GELORA BUNG KARNO STADIUM PLEASE  A PLACE WHERE AsianGames2018 HELD ON  SOOOOO LETS MADE US CHANGES TWO DAYS btsbighit BTStwt BigHitEnt,1,0
Rolan Gomes,@RolanGomes19,His love for football is only to show to the heads of footballing countries Had he really had love for football hed made sure our IndianFootball team made it to the AsianGames2018 The demands of us BluePilgrims fell on dead ears isnt it PMOIndia narendramodi,0,0
cold x bitter,@cindywandini,Bring back AsianGames2018 pleaaasseeee,0,0
Vinayak Padmadeo,@Padmadeo,Last time he had said something similar at the AsianGames2018 and looked what happened We shouldnt disrespect teams who come up short against us He called the league matches as friendlies and we all know what happened after that httpstwittercomJaspreetSSahnistatus1071440896917295104,0,0
Surendhar MKVerified account,@SurendharMK,MOST INFLUENTIAL MOMENTS ON TWITTER IN 2018SarkarMeTooKarnatakaElectionKeralaFloodsAadhaarJusticeForAsifaDeepVeerIPL2018WhistlePoduAsianGames2018,0,0
Keringat Christie J,@frisyaa26_,Flashback AsianGames2018 httpstwittercomndorokakungstatus1070173591763738624,0,0
SportsNow India,@SportsNowIndia,Indias no 1 paddler has been nominated for to her mindblowing performance at the Gold Coast earlier this year commonwealth games asiangames2018 tabletennis championships champion shepower winner allthebest bestofluckpictwittercom3vk9hspEg7,0,0
Firuzan Muhammad,@friozan,RameDiTwitter Tagar favorit AsianGames2018 2019PrabowoSandihttpstwittercomTwitterIDstatus1070244266838904832,0,0
Illusionist,@Zero_3333,Top most Hastag in Twitter Indiaactorvijay Sarkar Viswasam Metoo KarnatakaElections KeralaFloods IPL2018 WhistlePodu AjithKumarArmy VijayFansUpdate AsianGames2018 DeepVeer Aadhaar JusticeForAsifapictwittercomst8mjwo7tX,0,0
Sporcial,@sporcial15,Throwback to Hima Das Asian Games debut400 m in 5100 secondsLater she bettered her own record by registering time of 5079 seconds in finalsFollow SPORCIAL for more such updatestbt throwbackthursday himadas asiangames asiangames2018 running fitness pictwittercomUw1K9dLqfB,0,0
Doordarshan NewsVerified account,@DDNewsLive,Meet young PinckyBalhara who won silver in Kurash at AsianGames2018 in our special programme Tejaswini httpsyoutubeYXcLclB77Ew,0,0
Dato Amarjit Singh,@AmarjitSG,MYR 810000 for all your hard work You deserve every bit of it trackcycling malaysiancycling asiangames2018 asianparagames2018 hardwork perseverence mncf velodrome  Kuala Lumpur httpswwwinstagramcompBrkXqYPHKXvutmsourceigtwittershareigshidh2bve6sqxdur,0,0
India and Sports,@mysportspitch,HWC2018 Appearing in their 8th World Cup AsianGames2018 Runners up malaysiahockey faces tough match to avoid elimination Since making debut in 1973 World Cup Malaysia has won 10 matches drawn 9 lost 29 scoring 61 goals and conceding 127 goals httpsbitly2C1emup,0,0
Cep Reza Alam Wahid,@CepReza_Aweu,I added a video to a YouTube playlist httpyoutubeVD2ta2w0yQa AsianGames2018 Torch Relay Route,0,0
Fazri Farhandhika N,@fazrihandhika,Energy Of Asiabarasuara perform on the stage asiangames2018AsianFest ArtGalleryid asiangames2018 500pxid  Jakarta Indonesia httpswwwinstagramcompBrIEss2hC6Butmsourceigtwittershareigshid20uwif5g2wn0,1,0
Rahul Bhutani,@BhutaniRahul,Tata Steel  Kolkata 25K  an IAAF Bronze Label Race will see Avinash Sable  L Suriya lead the elite Indian field runadhm 2018 winner Abhishek Pal Kalidas Hirave and AsianGames2018 3000 meters Steeplechase silver medalist Sudha Singh will participatehttpswwwthequintcomnewshotnewsdefendingchampssablesuriyatoleadindianchargeintsk25krun,0,0
Tecktorious,@CzTecktorious,Thats thatYouTube channel Tecktorious  olympiclifting loveher inspiration gamestagram loveyourself youtube instalove youtubechannel lovely rockstargames motivation mondaymotivation lovelife crossfitgames lovethem loveit asiangames2018 playinggamepictwittercomD4FKD8DCGR,0,0
