Nama_Produk,Warna,Harga,Diskon,Pembeli
HP Joy 2 14-CM0091AU 14“ HD,Silver,4099000,2,365
LENOVO Yoga 330-2SID 11.6",Black,3975000,20,87
ZYREX Sky 232x 14.1",Grey,3099000,6,734
LENOVO Yoga 330-51ID 11",Black,5199000,13,170
ZYREX Sky 232x 14.1",Blue,3099000,6,88
ASUS A407MA-BV001T 14" HD,Star Grey,4149000,5,52
ZYREX Sky 232x 14.1",Red,3099000,6,58
ASUS X441MA-GA011T 14" HD,Black,4246000,5,95
LENOVO Yoga 330-50ID 11",Grey,5399000,10,118
ASUS A442UR-GA041T 14",Dark Grey,7999000,6,284
ASUS X441MA-GA012T 14" HD,Silver,4246000,5,84
LENOVO Ideapad 330-RID 14" HD,Platinum Grey,3999000,4,29
LENOVO Ideapad 330-QID 14" HD,Onyx Black,3999000,4,69
ASUS A407MA-BV002T 14" HD,Gold,4149000,5,35
HP Pavilion x360 11-ad019TU 11.6",Silver,5612000,6,31
ASUS X441MA-GA014T 14" HD,White,4246000,5,64
APPLE Macbook Air 2017 MQD32 13 inch,Silver,12499000,6,240
LENOVO Ideapad 330-33ID 14" HD,Onyx Black,3799000,1,20
ASUS X441UA-GA314T 14" HD,White,6079000,5,15
ASUS A407UA-BV319T 14" HD,Star Gray,5983000,5,27
LENOVO Ideapad 330S 15.6" FHD,Blue,9499000,20,20
Ace-Pad S11 14inch RAM 6GB ROM  1920x1080 p Full HD IPS pantalla Intel  Quad Core CPU Windows10 PRO system,Pad S11 14inch RAM 6GB ROM  1920x1080 p Full HD IPS pantalla Intel  Quad Core CPU Windows10 PRO system,3590000,,
LENOVO YOGA 330-11IGM 81A6002SID 11.6",Black,4099000,18,1
HP 240 G6 03PA 14" HD,Black,5812000,9,9
HP 14-bs740TU 14" HD,Silver,5512500,11,18
LENOVO Ideapad 330-34ID 14" HD,Platinum Grey,3799000,1,15
ASUS X441UA-GA311T 14" HD,Black,6079000,5,24
ACER Aspire 3 A315-41-R97J 15.6" HD,Obsidian Black,7275000,4,48
HP 14-bs743TU 14" HD,Black,5512000,8,24
ASUS A442UR-GA042T 14",Gold,7999000,6,132
ASUS X441MA-GA013T 14" HD,Red,4246000,5,40
HP 14-bw024AX 14" HD,Gold,5012500,10,7
ASUS A407UA-BV320T 14",Icicle Gold,5983000,5,19
HP 14-bs747TU 14" HD,Silver,3912000,9,10
ASUS A442UR-GA043T 14",Red,8209000,4,90
HP 14-ck0004TX 14" HD,Silver,6112000,7,13
ACER Aspire 3 A315-41-R3LC 15.6" HD,Obsidian Black,5725000,4,54
HP 14-bs742TU 14" HD,Grey,5729000,4,19
HP 14-CM0094AU 14“ HD,Gold,3812000,11,7
HP 14-bs741TU 14" HD,Gold,5512000,8,9
LENOVO IdeaPad 330-3FID 14" HD,Platinum Grey,4449000,3,28
LENOVO IdeaPad 330-3EID 14" HD,Onyx Black,4449000,3,19
LENOVO V130-RID 14" HD,Iron Grey,5599000,6,5
ASUS A407UF-BV061T 14" HD,Star Grey,6755000,4,3
ASUS A407UF-BV512T 14" HD,Icicle Gold,8299000,4,2
LENOVO Ideapad 320-86ID 14",Platinum Grey,5749000,2,40
LENOVO Ideapad 330S 15.6" FHD,Platinum Grey,9299000,22,6
ASUS A407UF-BV062T 14" HD,Icicle Gold,6755000,4,4
HP 14-bs748TU 14" HD,Gray,3912000,6,9
HP 14-cm0066AU 14“ HD,Black,4512000,5,4
HP 14-cm0075AU 14" HD,Gold,7612000,7,12
HP Pavilion Gaming 15-cx0057TX 15.6" FHD,White,13212000,8,11
HP Pavilion Gaming 15-cx0055TX 15.6" FHD,Acid Green,13212500,9,8
LENOVO V130-EID 14" HD,Iron Grey,5199000,6,
LENOVO Ideapad 330S-BRID 14" HD,Platinum Grey,8199000,8,6
THINKPAD L380-QID 13.3" FHD,Black,14799000,2,2
HP 14-ck0007TX 14" HD,Gold,6112500,8,4
ASUS X441UA-GA313T 14" HD,Red,6079000,5,9
LENOVO IdeaPad 330-9ID 14" HD,Platinum Grey,4749000,3,4
ASUS A407UF-BV511T 14" HD,Star Grey,8299000,4,1
