nama,id,tweet,driver,aplikasi
kush,@1kush1,My first GoJek trip was worth S1,0,0
shiniiii,@yupshenee,gojek you da best,0,1
Vikas,@vikasrehan,Took my first ride today with gojektech in Simgapore and the entire experience was a breeze Good start Time for you guys to get a verified twitter handle gojek sgcabs,0,0
Kresh,@Kumz94YNWA,Gojek beta is up and running Finally another private hire app And looks good with the early promos Sadly only certain locations available for now,0,0
Tubeer,@Tubeer3,What  gojek pictwittercom8WYWkXnJPq,0,0
Faith Leo,@shups19,Amazing Just booked a ride with gojek for S1 thankyoucompetition,0,0
syahirah,@iraahrawr,Thank you GOJEK GoJek can take alll my monehh nowww huhuuLook at how ridiculous grab price isGoJek pictwittercomjmlEBRm1Wn,0,0
Linda Patimasang,@LindaPatimasang,The gojek driver who supposed to deliver my books last night cancelled the service After he cancelled it he said stg rude Dear gojekindonesia Im looking forward your followup for his rudeness He needs to be terminatedpictwittercomMEVvczDeIT,1,0
Marc Jacobs,@indorover,Twitter asks me what is happening The miracle of GoJek,0,0
the thinker,@PakHer4,Thanks Nadiem bless you GoJek,0,0
lainey   ,@laineyx,spotted in singapore  gojekindonesia gojek gojeksg VisitSingaporepictwittercom8vIx5zHAyA,0,0
Avi ,@HawHawBlahBlah,Cab ride 35kmBefore GOJEK 20With GOJEK 6 Welcome to Singapore GoJek,0,0
tanJ,@varuntan,Just loved my first GoJek ride in Singapore much better fares than GrabSG or cdgtaxisgGoooo gojekindonesiapictwittercomPucD4zZX2i,0,0
Jo Lee,@joleeqh,The air freshener smell in this GoJek ride is too overpowering,0,0
Glory Burger  Rotibakar,@glory_burger,gloryburger Available on GOFOOD Powered By GOJEKburger newburger atjehkuliner acehkuliner aceh bandaaceh food khasaceh jajanaceh snack tranding foodtrand gofood gojek pictwittercomlst3dWZZYP,0,0
Anonoz Chong,@anonoz,Those who are not DBSPOSB customers but wanna use gojek1 Priority Access Code is first 6 digits of your card aka BIN  find them on httpswwwcreditcardvalidatororgdbs or google DBS BIN2 You can then add any other payment card to pay for rides,0,0
juzcrap,@juzcrap,What gojek so i cant use the service till someone enables me access to the beta pictwittercomwkcRjJlfbd,0,0
Asian Digital Hub,@asiandigitalhub,GoJek to Enter Singapore This Week in Challenge to GrabGoJek Chief Executive Officer Nadiem Makarim has said the company will enter the Singapore market with promotions without disclosing specific timinghttpswwwbloombergcomnewsarticles20181128gojekissaidtoentersingaporethisweekinchallengetograbsrndtechnologyvp,0,0
